Performance testing not implemented in this trimmed PS5.1 runner.
KVN Construction - Performance Report
Generated : 2026-06-17 21:08:34
============================================================

/ | 38.38 ms
/about-us.php | 31.01 ms
/services.php | 29.63 ms
/projects.php | 33.93 ms
/blogs.php | 23.49 ms
/contact.php | 29.38 ms
/login.php | 31.91 ms
/phone-login.php | 28.88 ms
/forgot-password.php | 30.11 ms
/reset-password.php | 35.09 ms
/admin | 28.11 ms
/admin/dashboard.php | 27.38 ms
