"Relative","Size","LastWriteTime"
"database\migration\consolidate_duplicate_tables.sql","4129","2026-06-26 08:58:50"
"database\migration\index_migration.sql","3367","2026-06-24 19:03:17"
"database\migration\Kvnc_platform.sql","199610","2026-06-21 17:03:47"
